Human.associated.gene.name	Associated.Gene.Name
COMT	Comt
HBQ1	Hbq1a
CCNYL1	Ccnyl1
FAM205A	Fam205a2
DCUN1D5	Dcun1d5
BARHL2	Barhl2
ATP6V0A4	Atp6v0a4
EREG	Ereg
GPR182	Gpr182
PTEN	Pten
RNF167	Rnf167
AIDA	Aida
OR7E24	Olfr866
AATK	Aatk
EZH2	Ezh2
PRPF40A	Prpf40a
AGO4	Ago4
HSD3B1	Hsd3b4
HSD3B2	Hsd3b4
COMMD4	Commd4
RDH16	Gm28046
PTPRH	Ptprh
CCNH	Ccnh
RDH16	Rdh9
HSD3B1	Gm10681
HSD3B2	Gm10681
NCF2	Ncf2
LA16c-380H5.3	1520401A03Rik
PRL	Prl
MSRB1	Msrb1
SH3PXD2B	Sh3pxd2b
ETS2	Ets2
RDH16	Rdh1
CCDC107	Ccdc107
YTHDF3	Ythdf3
HSD3B1	Gm4450
HSD3B2	Gm4450
GPA33	Gpa33
CCL19	Ccl19
CRNKL1	Crnkl1
ADAM33	Adam33
KIAA1549	D630045J12Rik
FNIP2	Fnip2
HSD3B1	Hsd3b2
HSD3B2	Hsd3b2
SLC25A11	Slc25a11
ZNF697	Zfp697
SGCE	Sgce
TRIM5	Trim30c
CCL21	Ccl21a
BROX	Brox
HSD3B1	Hsd3b3
HSD3B2	Hsd3b3
CD300C	Cd300c2
CD300A	Cd300c2
HSPA13	Hspa13
FAM205A	Fam205a1
MEX3C	Mex3c
TMEM213	Tmem213
GSDMC	Gsdmc2
JADE3	Jade3
FAM205A	Gm12394
STON2	Ston2
XCR1	Xcr1
PFN1	Pfn1
AREG	Areg
TIPARP	Tiparp
YIPF3	Yipf3
MYOZ2	Myoz2
OR7D4	Olfr867
C4orf45	Gm17359
CCR1	Ccr1
TANK	Tank
HSD3B1	Hsd3b5
HSD3B2	Hsd3b5
RPL39L	Rpl39l
GSDMC	Gsdmc3
ASNA1	Asna1
SURF2	Surf2
SPAG6	Spag6l
RASA1	Rasa1
CCR1	Ccr1l1
ATOX1	Atox1
JADE2	Jade2
C5	Hc
C2orf61	Stpg4
CCR3	Ccr3
TRIM5	Trim30a
CTD-3105H18.18	6720489N17Rik
CTD-2006C1.10	6720489N17Rik
ZNF625-ZNF20	6720489N17Rik
CTD-3105H18.14	6720489N17Rik
KCNN4	Kcnn4
CCR2	Ccr2
RLIM	Rlim
NRK	Nrk
UBTD2	Ubtd2
SOX5	Sox5
NR1H2	Nr1h2
SNTG1	Sntg1
SURF4	Surf4
CDK19	Cdk19
MATR3	Matr3
IL13RA1	Il13ra1
ZNF544	Gm5141
RIT2	Rit2
CCR2	Ccr5
SH2D1A	Sh2d1a
SLC1A2	Slc1a2
GPR119	Gpr119
MMP13	Mmp13
STRIP2	Strip2
SALL1	Sall1
ARMC6	Armc6
RNLS	Rnls
OR7E24	Olfr868
INSM1	Insm1
SURF1	Surf1
WNT16	Wnt16
C19orf43	2310036O22Rik
AC233755.2	Ighv5-16
IGHV3OR16-8	Ighv5-16
IGHV3-38	Ighv5-16
IGHV3-13	Ighv5-16
IGHV3-33	Ighv5-16
IGHV3-23	Ighv5-16
IGHV3-21	Ighv5-16
RP11-812E19.9	Ighv5-16
IGHV3OR16-13	Ighv5-16
CH17-224D4.1	Ighv5-16
IGHV3-66	Ighv5-16
IGHV3-20	Ighv5-16
IGHV3-43	Ighv5-16
AC141272.1	Ighv5-16
IGHV3OR16-9	Ighv5-16
IGHV3-30	Ighv5-16
IGHV3-7	Ighv5-16
IGHV3-64	Ighv5-16
IGHV3OR16-12	Ighv5-16
IGHV3-48	Ighv5-16
IGHV3-11	Ighv5-16
IGHV3-53	Ighv5-16
IGHV3OR16-10	Ighv5-16
IGHV3-74	Ighv5-16
EFCAB9	Efcab9
GRK2	Grk2
TM2D1	Tm2d1
TENM1	Tenm1
CD300LD	Cd300ld2
MYLK4	Mylk4
ATP6V0A1	Atp6v0a1
SUGP2	Sugp2
CD300LD	Cd300ld4
THOP1	Thop1
NUB1	Nub1
MSX2	Msx2
FBP1	Fbp1
ATRAID	Atraid
GALNT14	Galnt14
SWI5	Swi5
OR8B12	Olfr875
SGSM3	Sgsm3
F2RL2	F2rl2
KIF23	Kif23
ULK2	Ulk2
FMO2	Fmo2
FCGBP	9530053A07Rik
AC233755.2	Ighv5-17
IGHV3OR16-8	Ighv5-17
IGHV3-38	Ighv5-17
IGHV3-13	Ighv5-17
IGHV3-33	Ighv5-17
IGHV3-23	Ighv5-17
IGHV3-21	Ighv5-17
RP11-812E19.9	Ighv5-17
IGHV3OR16-13	Ighv5-17
CH17-224D4.1	Ighv5-17
IGHV3-66	Ighv5-17
IGHV3-20	Ighv5-17
IGHV3-43	Ighv5-17
AC141272.1	Ighv5-17
IGHV3OR16-9	Ighv5-17
IGHV3-30	Ighv5-17
IGHV3-7	Ighv5-17
IGHV3-64	Ighv5-17
IGHV3OR16-12	Ighv5-17
IGHV3-48	Ighv5-17
IGHV3-11	Ighv5-17
IGHV3-53	Ighv5-17
IGHV3OR16-10	Ighv5-17
IGHV3-74	Ighv5-17
RBMX2	Rbmx2
ORM2	Orm2
ORM1	Orm2
BTC	Btc
CAMKK2	Camkk2
LIPJ	Lipo5
ZMIZ2	Zmiz2
HIBADH	Hibadh
TMEM176A	Tmem176a
TEN1-CDK3	Cdk3-ps
CDK3	Cdk3-ps
OR7E24	Olfr869
WEE2	Wee2
OR8B12	Olfr876
DDT	Ddt
DDTL	Ddt
RALGAPA2	Ralgapa2
PPP4R2	Ppp4r2
KLF3	Klf3
AGA	Aga
KIAA1551	2810474O19Rik
APOL3	Apol11b
APOL1	Apol11b
APOL4	Apol11b
APOL2	Apol11b
OR8B8	Olfr145
RORA	Rora
SYNJ2BP-COX16	Gm20498
GOLGA6L10	Golga2
GOLGA6L4	Golga2
GOLGA6C	Golga2
GOLGA8T	Golga2
GOLGA6L9	Golga2
GOLGA8F	Golga2
GOLGA8O	Golga2
GOLGA8G	Golga2
GOLGA8R	Golga2
GOLGA8H	Golga2
GOLGA8B	Golga2
GOLGA6B	Golga2
GOLGA8M	Golga2
GOLGA8K	Golga2
GOLGA6D	Golga2
GOLGA8Q	Golga2
GOLGA8N	Golga2
GOLGA8J	Golga2
GOLGA8S	Golga2
GOLGA8A	Golga2
GOLGA6A	Golga2
GOLGA2	Golga2
SYCP1	Sycp1
SLC5A6	Slc5a6
SCUBE2	Scube2
MYSM1	Mysm1
RAPH1	Raph1
TMEM176B	Tmem176b
ITPRIPL2	Itpripl2
SYNJ2BP	Synj2bp
STAMBP	Stambp
LENEP	Lenep
LIPJ	Lipo2
FLAD1	Flad1
FOSL2	Fosl2
RAB35	Rab35
MKL1	Mkl1
EMB	Emb
ZNF644	Zfp644
COX16	Cox16
SUZ12	Suz12
FAM222A	Fam222a
LIPJ	Lipo3
SPATA19	Spata19
SV2C	Sv2c
CHDH	Chdh
OR7E24	Olfr872
VLDLR	Vldlr
MAEL	Mael
PARM1	Parm1
PSMG1	Psmg1
LIPJ	Lipo4
GNG4	Gng4
GPR160	Gpr160
TOX3	Tox3
C3	C3
AC136616.2	Ighv7-1
IGHV3-73	Ighv7-1
IGHV3OR15-7	Ighv7-1
IGHV3-49	Ighv7-1
IGHV3-15	Ighv7-1
IGHV3-72	Ighv7-1
STK10	Stk10
MAMDC4	Mamdc4
LSM6	Lsm6
CYLC2	Cylc2
CDKN2AIPNL	Cdkn2aipnl
AKNA	Akna
POLR3B	Polr3b
HEXIM1	Hexim1
HUS1	Hus1
RAD1	Rad1
RIMKLB	Rimklb
GPR17	Gpr17
HEXIM2	Hexim2
SYTL2	Sytl2
FBL	Fbl
SAA4	Saa4
KLHDC7A	Klhdc7a
USP34	Usp34
TAX1BP1	Tax1bp1
KBTBD12	Kbtbd12
HRH2	Hrh2
SASH1	Sash1
PPP1R12B	Ppp1r12b
TRIM5	Trim30d
EVPL	Evpl
HPCAL4	Hpcal4
OR5B2	Olfr1451
CTHRC1	Cthrc1
CHMP1A	Chmp1a
OR5B3	Olfr1452-ps1
G3BP1	G3bp1
MYCBP2	Mycbp2
OR8B4	Olfr878
BNIP1	Bnip1
PHPT1	Phpt1
C16orf74	1190005I06Rik
SMG9	Smg9
LYZL2	Lyzl1
LYZL1	Lyzl1
PPP2R3B	Ppp2r3d
FLYWCH2	Flywch2
BICDL1	Ccdc64
CCR8	Ccr8
IGSF21	Igsf21
AC136616.2	Ighv7-2
IGHV3-73	Ighv7-2
IGHV3OR15-7	Ighv7-2
IGHV3-49	Ighv7-2
IGHV3-15	Ighv7-2
IGHV3-72	Ighv7-2
TACR3	Tacr3
GALNT2	Gm20388
CELSR2	Celsr2
IGLC1	Igll1
IGLL1	Igll1
IGLC2	Igll1
IGLC3	Igll1
IGLL5	Igll1
IGLC7	Igll1
CD300LD	Cd300ld5
IGHV1-69	Ighv14-1
IGHV1OR15-9	Ighv14-1
IGHV1-3	Ighv14-1
AC136616.3	Ighv14-1
IGHV1-69-2	Ighv14-1
IGHV1OR21-1	Ighv14-1
IGHV1-2	Ighv14-1
IGHV1-58	Ighv14-1
IGHV1-18	Ighv14-1
CH17-212P11.6	Ighv14-1
IGHV1-45	Ighv14-1
RP11-294C11.4	Ighv14-1
IGHV1-24	Ighv14-1
IGHV1-46	Ighv14-1
CH17-212P11.5	Ighv14-1
IGHV1OR15-1	Ighv14-1
IGKV2-40	Igkv2-112
IGKV2D-28	Igkv2-112
IGKV2-28	Igkv2-112
IGKV2D-40	Igkv2-112
ZBTB2	Zbtb2
ACTA1	Acta1
HYOU1	Hyou1
LRRC8E	Lrrc8e
CD300LD	Cd300ld3
SPRY1	Spry1
LRRC6	Lrrc6
CCDC7	Ccdc7a
OR5B3	Olfr1453
TMEM86B	Tmem86b
STK19	Stk19
C9orf3	2010111I01Rik
CPLX2	Cplx2
TMEM181	Tmem181a
MRPS21	Mrps21
SIGLEC1	Siglec1
KIZ	Kiz
SRP68	Srp68
NDUFA4	Ndufa4
SORCS2	Sorcs2
OR5B3	Olfr1454
SYT2	Syt2
NKG7	Nkg7
COL9A1	Col9a1
POLQ	Polq
PLXNA2	Plxna2
CASP5	Casp4
HNRNPR	Hnrnpr
IRX1	Irx1
TKT	Tkt
CHD7	Chd7
SMG7	Smg7
ZCCHC18	Zcchc12
ZCCHC12	Zcchc12
RP11-566K11.2	Mc1r
MC1R	Mc1r
IQCF6	Iqcf6
F10	F10
SCN4B	Scn4b
PSMA3	Psma3
FANCC	Fancc
UBE2B	Ube2b
FBXO31	Fbxo31
TNNC1	Tnnc1
IPP	Ipp
PSMD14	Psmd14
TOP3B	Top3b
ATF7IP2	Atf7ip2
TNPO2	Tnpo2
XRN2	Xrn2
PSAPL1	Psapl1
NISCH	Nisch
CCDC22	Ccdc22
MICU3	Micu3
FRZB	Frzb
UGP2	Ugp2
KEAP1	Keap1
IGKV1-6	Igkv14-111
IGKV1-12	Igkv14-111
IGKV1-33	Igkv14-111
IGKV1D-16	Igkv14-111
IGKV1D-12	Igkv14-111
IGKV1-8	Igkv14-111
IGKV1-39	Igkv14-111
IGKV1-16	Igkv14-111
IGKV1-37	Igkv14-111
IGKV1-5	Igkv14-111
IGKV1D-13	Igkv14-111
IGKV1D-17	Igkv14-111
IGKV1D-33	Igkv14-111
IGKV1D-39	Igkv14-111
IGKV1-17	Igkv14-111
IGKV1D-37	Igkv14-111
IGKV1D-43	Igkv14-111
IGKV1-9	Igkv14-111
IGKV1-27	Igkv14-111
IGKV1D-8	Igkv14-111
IGKV1OR2-108	Igkv14-111
COX4I1	Cox4i1
FRRS1	Frrs1
HAGH	Hagh
AHSA2	Ahsa2
PUSL1	Pusl1
LARGE1	Large1
CBLN2	Cbln2
SNAPC4	Snapc4
PHLPP2	Phlpp2
SLC25A38	Slc25a38
CREB3L3	Creb3l3
FGF20	Fgf20
SUPT4H1	Supt4a
CCNL1	Ccnl1
SAMSN1	Samsn1
PPP1R3F	Ppp1r3f
FZD5	Fzd5
ILDR2	Ildr2
CPSF3L	Cpsf3l
TTLL1	Ttll1
COQ7	Coq7
ZNF800	Zfp800
FBXW9	Fbxw9
RP11-467J12.4	Gm45396
FOXP3	Foxp3
OPRK1	Oprk1
CDK10	Cdk10
GALR2	Galr2
COL20A1	Col20a1
PRIMA1	Prima1
CCDC24	Ccdc24
IER3	Ier3
HSPA12B	Hspa12b
SEMA3D	Sema3d
ACSBG1	Acsbg1
LEKR1	Lekr1
POU3F3	Pou3f3
THOC3	Thoc3
ALPK3	Alpk3
DLK2	Dlk2
SEPT2	Sept2
IGKV2-40	Igkv2-109
IGKV2D-28	Igkv2-109
IGKV2-28	Igkv2-109
IGKV2D-40	Igkv2-109
CD300E	Cd300e
OR5B3	Olfr1457
NKX2-4	Nkx2-4
CARD9	Card9
ALDH1A1	Aldh1a1
TMEM69	Tmem69
CLN8	Cln8
RP11-439C15.6	Cln8
NKX2-5	Nkx2-5
HCN1	Hcn1
ZNF451	Zfp451
KIAA2022	C77370
MPHOSPH9	Mphosph9
B4GALT2	B4galt2
KYAT1	Kyat1
AKR1C3	Akr1c21
AKR1C1	Akr1c21
AKR1C4	Akr1c21
AKR1C2	Akr1c21
GAL3ST1	Gal3st1
OR9G4	Olfr1006
RGN	Rgn
IL17C	Il17c
OR5B3	Olfr1458
DESI2	Desi2
FBXO36	Fbxo36
TTLL5	Ttll5
RPSA	Rpsa
SMAD4	Smad4
CPNE7	Cpne7
CDK2AP1	Gm12184
NKX2-2	Nkx2-2
C2orf88	1700019D03Rik
TRIM7	Trim7
SELENOT	Selenot
WRNIP1	Wrnip1
NPBWR1	Npbwr1
NFXL1	Nfxl1
NUPR2	Nupr1l
CSDC2	Csdc2
ANKS1A	Anks1
INSRR	Insrr
JADE1	Jade1
OR5B3	Olfr1459
TRIP12	Trip12
OR7D4	Olfr39
SLC28A1	Slc28a1
PIGZ	Pigz
SLC22A16	Slc22a16
CHRNA4	Chrna4
FOXL1	Foxl1
MGLL	Mgll
USP9Y	Usp9y
PPP6R1	Ppp6r1
GRM2	Grm2
PAX1	Pax1
SPATA2L	Spata2l
RNF165	Rnf165
GALNT2	Galnt2
OR8K5	Olfr1008
FRMPD4	Frmpd4
USP22	Usp22
FBXW11	Fbxw11
LGSN	Lgsn
MGAT1	Mgat1
VPREB1	Vpreb1
LEPR	Lepr
SLC12A8	Slc12a8
USP9X	Usp9x
SLC6A9	Slc6a9
PEAR1	Pear1
CTC1	Ctc1
KIAA1191	4833439L19Rik
THG1L	Thg1l
BAZ1A	Baz1a
PALMD	Palmd
FOXA2	Foxa2
MAP3K8	Map3k8
CHD9	Chd9
ALDH1A1	Aldh1a7
C12orf65	2810006K23Rik
ZCCHC14	Zcchc14
GLRA1	Glra1
AMIGO3	Amigo3
MYO7B	Myo7b
SPRYD7	Spryd7
RAB37	Rab37
SPG21	Spg21
SSTR4	Sstr4
MST1	Mst1
FBXO24	Fbxo24
SSBP1	Ssbp1
WAC	Wac
CES2	Ces2a
CLEC2A	Clec2i
CLEC2D	Clec2i
THBD	Thbd
FMNL1	Fmnl1
DUSP28	Dusp28
ZFAND5	Zfand5
TUNAR	Tunar
CD93	Cd93
NT5C1A	Nt5c1a
SPEF1	Spef1
PEX2	Pex2
ZNF775	Zfp775
RCHY1	Rchy1
PIPOX	Pipox
PCOLCE	Pcolce
VPS9D1	Vps9d1
GNRHR	Gnrhr
DENND5A	Dennd5a
MSTN	Mstn
NXT1	Nxt1
RBM10	Rbm10
REPIN1	Repin1
MFSD2B	Mfsd2b
SIMC1	Simc1
GDA	Gda
ARRDC3	Arrdc3
CD1D	Cd1d1
OR9G1	Olfr1013
ANKDD1A	Ankdd1a
GZF1	Gzf1
DCAF13	Dcaf13
NR1D1	Nr1d1
SOCS6	Socs6
GDI1	Gdi1
CD300LD	Cd300lf
PLEKHF1	Plekhf1
CENPB	Cenpb
MSC	Msc
SERPINB1	Serpinb1a
C15orf39	1700017B05Rik
TTC4	Ttc4
NR5A1	Nr5a1
CDC25B	Cdc25b
THRA	Thra
NAPB	Napb
MAP3K10	Map3k10
DQX1	Dqx1
PROZ	Proz
PAQR6	Paqr6
MFAP5	Mfap5
CAMKV	Camkv
SRRM2	Srrm2
HTATSF1	Htatsf1
WDR61	Wdr61
TMC7	Tmc7
TCOF1	Tcof1
CHUK	Chuk
IRX2	Irx2
TTC9B	Ttc9b
DLK1	Dlk1
HDLBP	Hdlbp
HERPUD1	Herpud1
CKS1B	Cks1b
APBB3	Sra1
CCDC17	Ccdc17
BAAT	Baat
KCNQ2	Kcnq2
DNAJB6	Dnajb6
IGKV1-6	Igkv15-103
IGKV1-12	Igkv15-103
IGKV1-33	Igkv15-103
IGKV1D-16	Igkv15-103
IGKV1D-12	Igkv15-103
IGKV1-8	Igkv15-103
IGKV1-39	Igkv15-103
IGKV1-16	Igkv15-103
IGKV1-37	Igkv15-103
IGKV1-5	Igkv15-103
IGKV1D-13	Igkv15-103
IGKV1D-17	Igkv15-103
IGKV1D-33	Igkv15-103
IGKV1D-39	Igkv15-103
IGKV1-17	Igkv15-103
IGKV1D-37	Igkv15-103
IGKV1D-43	Igkv15-103
IGKV1-9	Igkv15-103
IGKV1-27	Igkv15-103
IGKV1D-8	Igkv15-103
IGKV1OR2-108	Igkv15-103
PLA2G6	Pla2g6
CALD1	Cald1
MIA3	Mia3
CSTL1	Cstl1
PYCARD	Pycard
PYDC1	Pycard
FAM181A	Fam181a
GINS2	Gins2
GPBP1L1	Gpbp1l1
SETD6	Setd6
MARVELD3	Marveld3
BSN	Bsn
SLC35A4	Slc35a4
ACSF3	Acsf3
OR9G1	Olfr1014
TRIM72	Trim72
CST11	Cst11
KANK2	Kank2
MMP12	Mmp12
GABRA1	Gabra1
COL14A1	Col14a1
PALM2	Palm2
DNAJA4	Dnaja4
HEYL	Heyl
MRPL50	Mrpl50
DAB2	Dab2
TMEM41B	Tmem41b
ATP6V1F	Atp6v1f
ZC3H18	Zc3h18
NDUFB11	Ndufb11
RNPEPL1	Rnpepl1
TLX2	Tlx2
CLSPN	Clspn
ETV1	Etv1
PHC3	Phc3
PALM2-AKAP2	Akap2
AKAP2	Akap2
PEX3	Pex3
OR9G1	Olfr1016
TEX264	Tex264
FAM212A	Fam212a
VPS26B	Vps26b
ZBTB22	Zbtb22
FUT9	Fut9
PAFAH1B3	Pafah1b3
IP6K1	Ip6k1
CST8	Cst8
TAPBP	Tapbp
MARCH8	March8
RPP40	Rpp40
THYN1	Thyn1
KAT7	Kat7
CENPE	Cenpe
HEY2	Hey2
C20orf27	1700037H04Rik
GPR107	Gpr107
ISX	Isx
OR5AR1	Olfr1019
HNRNPU	Hnrnpu
OR5AP2	Olfr1020
CST9	Cst9
C7orf57	Gm11992
RP11-729L2.2	Elac1
PALM2-AKAP2	Pakap
AKAP2	Pakap
FAM213A	Fam213a
ALDH3A1	Aldh3a1
GMPPB	Gmppb
ARL6IP6	Arl6ip6
ADAT2	Adat2
SUN3	Sun3
MMP1	Mmp1b
CRYGD	Cryge
TAF1A	Taf1a
C14orf132	D430019H16Rik
PRR19	Prr19
CST5	Cst3
CST4	Cst3
CST2	Cst3
CST1	Cst3
CDK18	Cdk18
ZAR1	Zar1
PMM1	Pmm1
TEX35	Tex35
CRYGD	Crygd
MSH2	Msh2
ACAP3	Acap3
SLC10A4	Gm5868
LYRM2	Lyrm2
RFX4	Rfx4
MYO7A	Myo7a
PAQR5	Paqr5
OR7E24	Olfr873
ZNF428	Zfp428
OR5B3	Olfr1461
MOBP	Mobp
UBA7	Uba7
BDKRB1	Bdkrb1
FAM205C	Fam205c
CST5	Cst10
CST4	Cst10
CST2	Cst10
CST1	Cst10
CLEC4F	Clec4f
LONRF3	Lonrf3
TRIML1	Triml1
CRYGC	Crygc
DDO	Ddo
CLEC2A	Clec2g
CLEC2D	Clec2g
MAP1LC3B2	Map1lc3b
MAP1LC3B	Map1lc3b
CASP12	Casp12
COX20	Cox20
CD207	Cd207
ARHGEF11	Arhgef11
EXOC7	Exoc7
TMPRSS11D	Tmprss11d
ERICH6	Erich6
SOX30	Sox30
WWP1	Wwp1
IL6	Il6
PPP1R3G	Ppp1r3g
SYNDIG1	Syndig1
OR5B3	Olfr1462
ZNF189	Zfp189
NDUFB11	1700029P11Rik
LPCAT3	Lpcat3
TAT	Tat
WDR86	Wdr86
WNT7A	Wnt7a
PABPN1L	Pabpn1l
EHD3	Ehd3
ZNF827	Zfp827
OR5B3	Olfr1463
TRIML2	Triml2
FGFR3	Fgfr3
FMR1	Fmr1
PCID2	Pcid2
OR56B1	Olfr657
PCDH1	Pcdh1
OR5B3	Olfr1464-ps1
CRYGB	Crygb
TUBB3	Tubb3
EMG1	Emg1
OR5B3	Olfr1465
SARS	Sars
ARHGEF39	Arhgef39
C6orf89	BC004004
NIPA1	Nipa1
OR5B3	Olfr1466
POP4	Pop4
SLC25A53	Slc25a53
MYRIP	Myrip
IRGQ	Irgq
OR52N4	Olfr659
CT47A2	Gm6268
CT47A4	Gm6268
CT47A3	Gm6268
CT47A8	Gm6268
CT47B1	Gm6268
CT47A12	Gm6268
CT47A10	Gm6268
RP13-347D8.7	Gm6268
CT47A7	Gm6268
RP1-321E8.5	Gm6268
CT47A9	Gm6268
CT47A5	Gm6268
CT47A6	Gm6268
CT47A1	Gm6268
CT47A11	Gm6268
ABCB7	Abcb7
CYBA	Cyba
OR5B3	Olfr1467
HTR1D	Htr1d
HK1	Hk1
LDOC1	Ldoc1
AKAP10	Akap10
NRN1	Nrn1
ATP5A1	Atp5a1
C2orf80	Gm28845
PIH1D3	Pih1d3
CRYGA	Cryga
FAM92B	Fam92b
PDE8A	Pde8a
BICD1	Bicd1
CTD-3105H18.18	3300002I08Rik
CTD-2006C1.10	3300002I08Rik
ZNF625-ZNF20	3300002I08Rik
CTD-3105H18.14	3300002I08Rik
C2orf80	D630023F18Rik
NLRC5	Nlrc5
CD226	Cd226
RMDN1	Rmdn1
C1orf54	BC028528
LRCH4	Lrch4
SEMA3A	Sema3a
SYNGAP1	Syngap1
TSPAN17	Tspan17
LRRC71	Lrrc71
ZCCHC18	Zcchc18
ZCCHC12	Zcchc18
PIEZO1	Piezo1
CCDC50	Ccdc50
WIPF1	Wipf1
PINLYP	Pinlyp
ARHGEF40	Arhgef40
PLEKHM3	Plekhm3
CIART	Ciart
AP5S1	Ap5s1
CST7	Cst7
MRPS24	Mrps24
CLASRP	Clasrp
GCC1	Gcc1
NTRK1	Ntrk1
HLA-DOA	H2-Oa
SENP3-EIF4A1	Senp3
SENP3	Senp3
CNGA1	Cnga1
FSCN3	Fscn3
APMAP	Apmap
DHTKD1	Dhtkd1
ARF5	Arf5
JUN	Jun
SF3B1	Sf3b1
EIF1B	Eif1b
ANO2	Ano2
IRGM	Irgm1
TMPRSS11A	Tmprss11a
CD68	Cd68
DDX59	Ddx59
CEP131	Cep131
CLDND2	Cldnd2
CTD-2616J11.11	Cldnd2
URGCP	Urgcp
TSKS	Tsks
TSPO	Tspo
TMEM145	Tmem145
ENTPD3	Entpd3
ZNF780B	Zfp607b
ZNF780A	Zfp607b
ZFPM1	Zfpm1
ACSS1	Acss1
INSL3	Insl3
IRGC	Irgc1
QRSL1	Qrsl1
JAK3	Jak3
PDZRN3	Pdzrn3
SLA	Sla
RP11-178L8.4	1700018B08Rik
C16orf95	1700018B08Rik
TYMS	Tyms
PCGF1	Pcgf1
MAVS	Mavs
GABARAP	Gabarap
TCP11	Tcp11
ASAP2	Asap2
HPS5	Hps5
RAB4A	Rab4a
SFT2D1	Gm12166
VAX2	Vax2
SAP25	Sap25
DOK6	Dok6
PLPPR4	Plppr4
FAM3C	Fam3c
NR6A1	Nr6a1
RPS6KA6	Rps6ka6
SYNPO2	Synpo2
ABCA3	Abca3
DYRK1B	Dyrk1b
LRCH4	Gm20605
SUCLA2	Sucla2
NIPAL1	Nipal1
MANEA	Manea
IRF8	Irf8
VSX1	Vsx1
PPID	Ppid
XRCC1	Xrcc1
CAPN10	Capn10
CDHR4	Cdhr4
ANKRD6	Ankrd6
TG	Tg
METTL24	Mettl24
EXOC4	Exoc4
FAN1	Fan1
ENTPD6	Entpd6
MYOM2	Myom2
RPL14	Rpl14
PHLDB1	Phldb1
SLAIN1	Slain1
EAF2	Eaf2
SAMD5	Samd5
UBE2T	Ube2t
SPSB3	Spsb3
ZNF703	Zfp703
CHCHD4	Chchd4
MMS19	Mms19
SPATA33	Spata33
MRPL33	Mrpl33
PLPPR5	Plppr5
SAP18	Sap18b
MRPL1	Mrpl1
CES2	Ces2b
TMPRSS4	Tmprss4
GUSB	Gusb
PLEKHO2	Plekho2
PMS1	Pms1
USP10	Usp10
PI16	Pi16
TPM2	Tpm2
DPYS	Dpys
PYGB	Pygb
ITGAM	Itgam
OR52N1	Olfr664
SIAH2	Siah2
OPCML	Opcml
RBKS	Rbks
IQCB1	Iqcb1
SLC9A3R1	Slc9a3r1
SEZ6	Sez6
DOCK6	Dock6
PPCDC	Ppcdc
BGLAP	Bglap3
CRYGN	Crygn
TMPRSS4-AS1	BC049352
HHIPL2	Hhipl2
NME3	Nme3
USP17L3	Usp17le
USP17L17	Usp17le
USP17L19	Usp17le
USP17L25	Usp17le
USP17L30	Usp17le
USP17L28	Usp17le
USP17L12	Usp17le
USP17L29	Usp17le
USP17L8	Usp17le
USP17L27	Usp17le
USP17L20	Usp17le
USP17L2	Usp17le
USP17L22	Usp17le
USP17L21	Usp17le
USP17L13	Usp17le
USP17L15	Usp17le
USP17L18	Usp17le
USP17L26	Usp17le
USP17L23	Usp17le
USP17L10	Usp17le
USP17L5	Usp17le
USP17L4	Usp17le
USP17L24	Usp17le
USP17L11	Usp17le
BRE	Bre
OR2Y1	Olfr1393
MPHOSPH10	Mphosph10
ZNF560	Zfp560
RNF123	Rnf123
EME2	Eme2
USP17L3	Usp17lb
USP17L17	Usp17lb
USP17L19	Usp17lb
USP17L25	Usp17lb
USP17L30	Usp17lb
USP17L28	Usp17lb
USP17L12	Usp17lb
USP17L29	Usp17lb
USP17L8	Usp17lb
USP17L27	Usp17lb
USP17L20	Usp17lb
USP17L2	Usp17lb
USP17L22	Usp17lb
USP17L21	Usp17lb
USP17L13	Usp17lb
USP17L15	Usp17lb
USP17L18	Usp17lb
USP17L26	Usp17lb
USP17L23	Usp17lb
USP17L10	Usp17lb
USP17L5	Usp17lb
USP17L4	Usp17lb
USP17L24	Usp17lb
USP17L11	Usp17lb
RNF24	Rnf24
VPS8	Vps8
PURB	Purb
MYH9	Myh9
CCDC7	Ccdc7b
SERPINA7	Serpina7
AC127070.1	Golga3
GOLGA3	Golga3
EHD1	Ehd1
DNAJB2	Dnajb2
MRPS34	Mrps34
SERPINB9	Serpinb9d
RFT1	Rft1
CASC3	Casc3
FAT4	Fat4
MAP2K2	Map2k2
RP11-286H14.4	Map2k2
DBNDD1	Dbndd1
AIM1	Aim1
KIAA1210	Gm14569
PSMB8	Psmb8
DLG5	Dlg5
PCDH15	Pcdh15
MAPK8IP3	Mapk8ip3
TTLL12	Ttll12
MSL1	Msl1
CCDC74A	Ccdc74a
CCDC74B	Ccdc74a
PLAUR	Plaur
ITGB1BP1	Itgb1bp1
EID2	Eid2
LUZP1	Luzp1
TAP2	Tap2
XXbac-BPG246D15.9	Tap2
RTN4IP1	Rtn4ip1
DPEP1	Dpep1
ABHD12	Abhd12
EID2B	Eid2b
PANK2	Pank2
HGF	Hgf
CDKL2	Cdkl2
NCBP2-AS2	0610012G03Rik
KIAA0391	1110008L16Rik
RP11-561B11.2	1110008L16Rik
AICDA	Aicda
SLC38A7	Slc38a7
FNDC3B	Fndc3b
CRLF3	Crlf3
OR5B3	Olfr1469
SLC25A40	Slc25a40
HSF2BP	Hsf2bp
S1PR5	S1pr5
ASPH	Asph
